id,lv-assertions,lv-exceptions,u-assertions,u-exceptions
00001,0,0,12,0
00002,0,0,12,0
00003,0,0,0,0
00004,0,0,0,0
00005,0,0,0,0
00006,0,0,0,0
00007,0,0,0,0
00008,0,0,0,0
00009,0,0,0,0
00010,0,33,0,0
00011,0,0,1,0
00012,0,0,0,1
00013,0,0,2,0
00014,0,0,3,1
00015,0,0,2,0
00016,0,0,2,0
00017,0,0,1,1
00018,0,0,2,0
00019,0,0,3,1
00020,0,0,1,1
00021,0,0,0,1
00022,0,0,0,1
00023,0,0,2,3
00024,0,0,2,3
00025,0,0,3,7
00026,0,0,2,3
00027,0,0,2,3
00028,0,0,0,3
00029,0,0,0,3
00030,0,0,1,0
00031,0,0,0,3
00032,0,0,0,3
00033,0,0,0,0
00034,0,1,0,0
00035,0,1,0,0
00036,0,0,4,20
00037,0,0,4,21
00038,0,6,0,13
00039,0,0,2,0
00040,0,0,2,0
00041,0,0,6,0
00042,0,0,6,0
00043,0,0,1,0
00044,0,0,2,0
00045,0,0,1,0
00046,0,0,0,0
00047,0,0,0,0
00048,0,0,3,0
00049,0,0,0,0
00050,0,0,0,0
00051,0,0,0,0
00052,1,0,0,0
00053,0,0,1,0
00054,1,1,0,0
00055,0,0,0,1
00056,0,0,0,1
00057,0,0,0,0
00058,0,0,0,0
00059,0,0,0,0
00060,0,0,0,0
00061,0,0,0,0
00062,0,0,0,0
00063,0,0,0,0
00064,1,0,0,0
00065,1,0,0,0
00066,1,0,0,0
00067,1,0,0,0
00068,0,0,0,0
00069,0,0,0,0
00070,0,0,0,0
00071,0,0,0,0
00072,0,0,0,0
00073,0,0,0,0
00074,0,0,0,0
00075,0,0,0,0
00076,0,0,0,0
00077,0,0,0,0
00078,0,0,0,0
00079,0,0,0,0
00080,0,0,0,0
00081,0,0,0,0
00082,0,0,0,0
00083,0,0,0,0
00084,0,0,0,0
00085,0,0,0,0
00086,0,0,0,0
00087,0,0,0,0
00088,0,0,0,0
00089,0,0,0,0
00090,0,0,0,0
00091,0,0,0,0
00092,1,0,0,0
00093,0,0,1,0
00094,1,1,0,0
00095,0,0,0,1
00096,0,0,0,1
00097,0,0,0,0
