miner,states,transitions,letters,total-edge-pairs,
bdd-3,3.7315816179097276,7.32895404477432,3.0,17.121071325368096,
bdd-2,1.6407141811795698,2.58870554661203,2.0,4.734651690326357,
dice,5169.693251533742,5187.251533742331,6.748466257668712,5297.355828220859,
dsm-randoop,120.6024844720497,2585.447204968944,7.453416149068323,53691.72049689441,
dsm-manual,12.810526315789474,52.68421052631579,6.652631578947369,368.65263157894736,
javert,3.2905759162303663,3.7801047120418847,3.7801047120418847,6.701570680628272,
texada,3.46661831088830385679,10.72291094076889029808,4.03269969553800006803,33.55717761860955521679
