id,state-compile-time,state-run-time,jdk-weave-time,jdk-run-compile,jdk-run-time,total-state-time(wo/JDK),total-state-time(w/JDK),total-state-time(w/JDK+DSI),only-dsi-time(seq)
00121,17.375,7.350,0,0,0,24.725,24.725,24.725,43.455
00122,72.940,15.676,483.158,25.546,19.110,88.616,616.430,5750.388,5133.958
00123,76.433,14.108,503.880,51.427,17.959,90.541,663.807,5711.862,5048.055
00124,66.563,13.731,0,0,0,80.294,80.294,80.294,5071.123
00125,65.200,13.817,0,0,0,79.017,79.017,79.017,5011.977
00126,65.713,12.581,440.486,52.497,14.538,78.294,585.815,5519.476,4933.661
00127,56.454,18.000,193.405,45.074,12.073,74.454,325.006,601.469,276.463
00128,62.439,19.011,0,0,0,81.450,81.450,81.450,267.491
00129,66.112,12.969,0,0,0,79.081,79.081,79.081,171.404
00130,65.152,13.278,0,0,0,78.430,78.430,78.430,243.642
00131,62.735,18.931,293.029,19.335,6.518,81.666,400.548,751.707,351.159
00132,63.597,18.481,0,0,0,82.078,82.078,82.078,498.153
00133,64.432,19.398,279.548,17.335,6.456,83.830,387.169,1357.817,970.648
00134,63.521,19.860,310.900,20.949,8.783,83.381,424.013,768.027,344.014
00135,65.481,16.961,0,0,0,82.442,82.442,82.442,493.938
00136,66.175,12.324,440.462,53.303,13.727,78.499,585.991,681.132,95.141
00137,17.756,5.856,0,0,0,23.612,23.612,23.612,41.692
00138,17.798,5.978,0,0,0,23.776,23.776,23.776,172.935
00139,21.551,7.369,0,0,0,28.920,28.920,28.920,43.210
00140,19.772,7.837,0,0,0,27.609,27.609,27.609,41.657
00141,33.290,8.861,428.820,47.578,24.426,42.151,542.975,5382.419,4839.444
00142,32.734,7.811,0,0,0,40.545,40.545,40.545,4761.321
00143,33.016,8.190,0,0,0,41.206,41.206,41.206,4695.006
00144,32.150,8.556,426.643,48.464,22.369,40.706,538.182,5179.206,4641.024
00145,64.250,17.680,321.909,25.485,8.674,81.930,437.998,689.780,251.782
00146,67.736,16.210,0,0,0,83.946,83.946,83.946,279.249
00147,22.929,6.006,0,0,0,28.935,28.935,28.935,161.657
00148,22.767,5.981,0,0,0,28.748,28.748,28.748,201.346
00149,64.512,18.240,325.622,25.896,10.534,82.752,444.804,781.531,336.727
00150,66.534,15.772,0,0,0,82.306,82.306,82.306,461.450
00151,66.797,16.076,317.730,26.622,7.605,82.873,434.830,1278.158,843.328
00152,64.610,19.146,318.974,27.584,9.523,83.756,439.837,757.937,318.100
00153,62.562,19.761,0,0,0,82.323,82.323,82.323,437.226
00154,23.206,7.127,398.203,52.104,23.299,30.333,503.939,558.564,54.625
00155,20.290,6.942,0,0,0,27.232,27.232,27.232,40.407
00156,22.447,9.015,0,0,0,31.462,31.462,31.462,170.613
00157,25.023,8.721,0,0,0,33.744,33.744,33.744,45.489
00158,27.043,9.666,0,0,0,36.709,36.709,36.709,42.140
00159,23.407,6.885,0,0,0,30.292,30.292,30.292,4528.467
00160,23.102,7.174,0,0,0,30.276,30.276,30.276,4429.606
00161,62.986,21.712,0,0,0,84.698,84.698,84.698,228.046
00162,64.040,19.264,0,0,0,83.304,83.304,83.304,253.541
00163,19.772,7.374,0,0,0,27.146,27.146,27.146,140.997
00164,19.783,7.435,0,0,0,27.218,27.218,27.218,157.329
00165,65.732,17.929,0,0,0,83.661,83.661,83.661,286.117
00166,63.701,17.792,0,0,0,81.493,81.493,81.493,394.168
00167,64.936,18.105,0,0,0,83.041,83.041,83.041,730.336
00168,62.245,16.403,0,0,0,78.648,78.648,78.648,274.917
00169,66.044,16.758,0,0,0,82.802,82.802,82.802,370.759
00170,19.914,7.090,0,0,0,27.004,27.004,27.004,38.717
00171,26.913,8.400,0,0,0,35.313,35.313,35.313,37.670
00172,27.145,9.640,0,0,0,36.785,36.785,36.785,173.600
00173,27.369,10.079,0,0,0,37.448,37.448,37.448,39.530
00174,26.107,9.603,0,0,0,35.710,35.710,35.710,41.764
00175,19.704,7.257,0,0,0,26.961,26.961,26.961,4159.421
00176,65.746,15.740,0,0,0,81.486,81.486,81.486,189.059
00177,66.139,15.740,0,0,0,81.879,81.879,81.879,207.317
00178,17.822,6.129,0,0,0,23.951,23.951,23.951,116.854
00179,19.591,6.956,0,0,0,26.547,26.547,26.547,118.134
00180,65.451,15.253,0,0,0,80.704,80.704,80.704,236.166
00181,65.683,15.032,0,0,0,80.715,80.715,80.715,306.629
00182,63.051,14.472,0,0,0,77.523,77.523,77.523,558.915
00183,57.164,15.707,0,0,0,72.871,72.871,72.871,207.776
00184,54.380,14.052,0,0,0,68.432,68.432,68.432,243.003
00185,18.432,6.071,0,0,0,24.503,24.503,24.503,36.225
00186,28.608,10.520,0,0,0,39.128,39.128,39.128,35.691
00187,28.606,10.023,0,0,0,38.629,38.629,38.629,162.597
00188,27.637,9.800,0,0,0,37.437,37.437,37.437,43.732
00189,27.737,9.689,0,0,0,37.426,37.426,37.426,42.943
00190,53.782,13.880,347.595,14.115,4.627,67.662,433.999,582.791,148.792
00191,51.491,13.617,0,0,0,65.108,65.108,65.108,160.552
00192,18.737,6.913,0,0,0,25.650,25.650,25.650,94.727
00193,18.901,7.241,0,0,0,26.142,26.142,26.142,109.545
00194,49.584,14.197,356.252,17.248,10.245,63.781,447.526,648.474,200.948
00195,49.721,14.780,0,0,0,64.501,64.501,64.501,236.427
00196,47.692,13.601,365.557,24.764,10.319,61.293,461.933,951.399,489.466
00197,45.152,14.213,364.098,24.547,10.688,59.365,458.698,632.284,173.586
00198,50.446,12.163,0,0,0,62.609,62.609,62.609,202.699
00199,17.566,5.713,338.598,55.466,20.734,23.279,438.077,471.741,33.664
00200,28.455,6.873,0,0,0,35.328,35.328,35.328,31.368
00201,29.487,9.274,0,0,0,38.761,38.761,38.761,165.231
00202,27.302,8.389,0,0,0,35.691,35.691,35.691,43.355
00203,28.685,6.388,0,0,0,35.073,35.073,35.073,46.633
00204,17.302,5.813,336.655,56.369,21.687,23.115,437.826,4369.547,3931.721
00205,17.555,5.920,0,0,0,23.475,23.475,23.475,3815.811
00206,17.839,6.667,0,0,0,24.506,24.506,24.506,3694.578
00210,68.200,15.952,0,0,0,84.152,84.152,84.152,4.341
TOTAL,8029.828,2100.277,19039.658,1944.583,658.692,10130.105,31773.038,78872.644,113764.631
AVG,49.566,12.964,117.528,12.003,4.066,62.531,196.129,486.868,702.250
