id,state-compile-time,state-run-time,jdk-weave-time,jdk-run-compile,jdk-run-time,total-state-time(wo/JDK),total-state-time(w/JDK),total-state-time(w/JDK+DSI),only-dsi-time(seq)
00160,53.140,15.779,0,0,0,68.919,68.919,68.919,35.804
00161,45.847,22.366,0,0,0,68.213,68.213,68.213,35.526
00162,46.430,20.744,0,0,0,67.174,67.174,67.174,17.702
00163,47.634,20.896,0,0,0,68.530,68.530,68.530,17.547
00166,51.974,17.338,0,0,0,69.312,69.312,80.689,11.377
00167,52.899,16.893,0,0,0,69.792,69.792,94.816,25.024
00168,53.294,23.060,0,0,0,76.354,76.354,123.877,47.523
00169,52.518,17.909,0,0,0,70.427,70.427,82.199,11.772
00172,51.495,17.996,0,0,0,69.491,69.491,846.123,776.632
00173,50.232,19.627,0,0,0,69.859,69.859,964.791,894.932
00176,49.164,18.988,0,0,0,68.152,68.152,68.152,749.117
00177,50.640,18.843,0,0,0,69.483,69.483,69.483,757.427
00178,52.452,16.052,0,0,0,68.504,68.504,68.504,755.453
00179,42.534,5.302,0,0,0,47.836,47.836,47.836,757.121
00180,51.236,17.949,0,0,0,69.185,69.185,69.185,689.201
00181,54.823,17.081,0,0,0,71.904,71.904,71.904,680.502
00184,53.252,17.221,0,0,0,70.473,70.473,70.473,717.944
00185,51.033,18.533,0,0,0,69.566,69.566,791.010,721.444
00186,53.462,16.896,0,0,0,70.358,70.358,819.880,749.522
00187,54.847,17.541,0,0,0,72.388,72.388,72.388,647.412
00190,46.967,18.614,0,0,0,65.581,65.581,774.721,709.140
00194,54.886,22.824,0,0,0,77.710,77.710,77.710,14.708
00195,55.280,21.996,0,0,0,77.276,77.276,77.276,14.845
00196,55.463,23.197,0,0,0,78.660,78.660,78.660,14.831
00198,53.692,17.419,0,0,0,71.111,71.111,71.111,90.559
00199,55.465,23.446,0,0,0,78.911,78.911,78.911,14.739
00200,54.925,21.959,0,0,0,76.884,76.884,91.789,14.905
00201,55.941,22.189,0,0,0,78.130,78.130,78.130,28.227
00202,54.271,18.046,0,0,0,72.317,72.317,153.423,81.106
00203,57.204,17.184,0,0,0,74.388,74.388,74.388,9.009
00207,49.378,15.966,0,0,0,65.344,65.344,65.344,12.091
00210,56.476,17.467,0,0,0,73.943,73.943,73.943,7.712
00211,56.003,19.555,0,0,0,75.558,75.558,75.558,10.975
00212,54.430,17.815,0,0,0,72.245,72.245,72.245,10.617
00213,54.226,18.626,0,0,0,72.852,72.852,72.852,10.408
00226,55.725,17.917,0,0,0,73.642,73.642,73.642,6.945
00229,60.441,21.688,0,0,0,82.129,82.129,82.129,22.241
00230,59.551,21.791,0,0,0,81.342,81.342,81.342,22.295
00233,53.474,22.564,0,0,0,76.038,76.038,76.038,21.691
00234,55.653,23.214,0,0,0,78.867,78.867,78.867,25.142
00235,53.329,21.254,0,0,0,74.583,74.583,84.887,10.304
00236,52.805,23.196,0,0,0,76.001,76.001,108.524,32.523
00238,55.005,21.743,0,0,0,76.748,76.748,98.918,22.170
00239,55.530,20.575,0,0,0,76.105,76.105,76.105,10.424
00240,56.688,21.807,0,0,0,78.495,78.495,100.098,21.603
00241,56.040,21.240,0,0,0,77.280,77.280,77.280,14.729
00242,56.530,21.112,0,0,0,77.642,77.642,77.642,10.285
00243,57.172,16.840,0,0,0,74.012,74.012,74.012,14.763
00244,51.456,19.153,0,0,0,70.609,70.609,283.004,212.395
00245,57.727,11.331,0,0,0,69.058,69.058,156.074,87.016
00246,59.448,15.385,0,0,0,74.833,74.833,81.579,6.746
00247,56.203,15.947,0,0,0,72.150,72.150,93.654,21.504
00248,41.193,24.913,0,0,0,66.106,66.106,80.898,14.792
00249,40.285,25.376,0,0,0,65.661,65.661,87.212,21.551
00250,52.761,18.594,0,0,0,71.355,71.355,282.698,211.343
00251,42.367,24.689,0,0,0,67.056,67.056,73.731,6.675
00253,54.542,17.856,0,0,0,72.398,72.398,72.398,166.536
00254,42.825,23.530,0,0,0,66.355,66.355,66.355,14.723
00255,43.802,25.842,0,0,0,69.644,69.644,84.374,14.730
00256,48.332,22.894,0,0,0,71.226,71.226,71.226,14.804
00257,48.015,19.430,0,0,0,67.445,67.445,67.445,6.792
00260,49.183,15.921,0,0,0,65.104,65.104,65.104,10.106
00268,58.881,15.928,199.462,41.828,22.217,74.809,338.316,338.316,24.032
00269,51.191,18.277,0,0,0,69.468,69.468,69.468,171.635
00275,60.779,15.610,0,0,0,76.389,76.389,76.389,16.673
00285,59.065,15.815,0,0,0,74.880,74.880,74.880,23.681
00286,56.545,14.452,0,0,0,70.997,70.997,70.997,24.044
00287,57.240,15.762,0,0,0,73.002,73.002,73.002,53.107
00288,49.475,9.131,0,0,0,58.606,58.606,108.738,50.132
00289,48.754,8.946,0,0,0,57.700,57.700,108.514,50.814
00290,57.419,14.851,0,0,0,72.270,72.270,72.270,51.163
00291,52.503,16.987,0,0,0,69.490,69.490,117.814,48.324
