id,state-compile-time,state-run-time,jdk-weave-time,jdk-run-compile,jdk-run-time,total-state-time(wo/JDK),total-state-time(w/JDK),total-state-time(w/JDK+DSI),only-dsi-time(seq)
commons-codec,26371.455,5248.574,9863.996,1813.718,462.646,31620.029,43760.389,48136.796,24853.378
commons-exec,13396.726,4539.131,408.873,85.617,41.862,17935.857,18472.209,29874.321,41266.978
commons-fileupload,15930.849,3896.934,6387.658,868.204,315.096,19827.783,27398.741,29827.033,9135.505
commons-validator,87638.146,9563.960,4695.188,1782.394,407.419,97202.106,104087.107,218330.139,941586.158
joda-convert,8029.828,2100.277,19039.658,1944.583,658.692,10130.105,31773.038,78872.644,113764.631
kamranzafar.jtar,157.573,64.268,143.787,14.141,7.506,221.841,387.275,428.884,98.607
TOTAL,151524.577,25413.144,40539.160,6508.657,1893.221,176937.721,225878.759,405469.817,1130705.257
AVG,25254.096,4235.524,6756.526,1084.776,315.536,29489.620,37646.459,67578.302,188450.876
