spec,test,#-NOT_RUN,#-FIRST_DELAYED,#-BEFORE_SECOND,#-SECOND_EXECUTED,#-COMPLETE,total,is_second_not_run
00164,Base16Test#testPairs,0,0,0,0,2,2,0
00164,Base16Test#testEncodeDecodeSmall,0,0,0,0,2,2,0
00164,BCodecTest#testUTF8RoundTrip,0,0,0,0,2,2,0
00164,Base16Test#testEncodeDecodeRandom,0,0,0,0,2,2,0
00164,Base16Test#testObjectDecodeWithValidParameter,0,0,0,0,2,2,0
00164,Base16Test#testObjectEncodeWithValidParameter,0,0,0,0,2,2,0
00164,Base16Test#testBase16,0,0,0,0,2,2,0
00164,BCodecTest#testBasicEncodeDecode,0,0,0,0,2,2,0
00166,Base32InputStreamTest#testStrictDecoding,0,0,0,0,4,4,0
00166,Base32OutputStreamTest#testStrictDecoding,0,0,0,0,4,4,0
00168,Base16Test#testEncodeDecodeSmall,1,1,0,0,0,2,1
00168,Base16Test#testEncodeDecodeRandom,1,1,0,0,0,2,1
00168,Base16Test#testObjectDecodeWithValidParameter,1,1,0,0,0,2,1
00168,Base16Test#testObjectEncodeWithValidParameter,1,1,0,0,0,2,1
00195,all-tests,0,2,0,0,0,2,0
00195,DigestUtilsTest,0,2,0,0,0,2,0
00202,all-tests,0,2,0,0,0,2,0
00202,DigestUtilsTest,0,2,0,0,0,2,0
00207,all-tests,1,1,0,0,0,2,1
00207,DigestUtilsTest#testSha224_StringAsHex,1,1,0,0,0,2,1
00207,DigestUtilsTest,1,1,0,0,0,2,1
00208,all-tests,0,2,0,0,0,2,0
00208,DigestUtilsTest,0,2,0,0,0,2,0
00211,all-tests,0,2,0,0,0,2,0
00211,DigestUtilsTest,0,2,0,0,0,2,0
00217,DoubleMetaphoneTest#testNTilde,0,2,0,0,0,2,0
00217,DoubleMetaphoneTest#testCCedilla,0,2,0,0,0,2,0
00218,DoubleMetaphoneTest#testNTilde,0,2,0,0,0,2,0
00218,DoubleMetaphoneTest#testCCedilla,0,2,0,0,0,2,0
00219,DoubleMetaphoneTest#testNTilde,0,0,0,0,2,2,0
00219,DoubleMetaphoneTest#testCCedilla,0,0,0,0,2,2,0
00227,DoubleMetaphoneTest#testIsDoubleMetaphoneEqualExtended3,0,0,0,0,2,2,0
00227,DoubleMetaphoneTest,0,0,0,0,2,2,0
00227,DoubleMetaphoneTest#testIsDoubleMetaphoneEqualWithMATCHES,0,0,0,0,2,2,0
00282,PhoneticEngineRegressionTest#testCompatibilityWithOriginalVersion,1,1,0,0,0,2,1
00282,BeiderMorseEncoderTest#testLongestEnglishSurname,1,1,0,0,0,2,1
00282,BeiderMorseEncoderTest#testOOM,1,1,0,0,0,2,1
00282,BeiderMorseEncoderTest#testAsciiEncodeNotEmpty1Letter,0,2,0,0,0,2,0
00282,BeiderMorseEncoderTest#testEncodeAtzNotEmpty,1,1,0,0,0,2,1
00282,BeiderMorseEncoderTest#testEncodeGna,1,1,0,0,0,2,1
00282,BeiderMorseEncoderTest#testLocaleIndependence,0,2,0,0,0,2,0
00282,PhoneticEngineRegressionTest#testSolrSEPHARDIC,1,1,0,0,0,2,1
00282,PhoneticEngineRegressionTest,0,2,0,0,0,2,0
00282,BeiderMorseEncoderTest#testSpeedCheck2,0,2,0,0,0,2,0
00282,PhoneticEngineTest,1,1,0,0,0,2,1
00282,BeiderMorseEncoderTest#testAsciiEncodeNotEmpty2Letters,1,1,0,0,0,2,1
00282,PhoneticEngineRegressionTest#testSolrGENERIC,1,1,0,0,0,2,1
00282,BeiderMorseEncoderTest#testSpeedCheck,0,2,0,0,0,2,0
00282,PhoneticEngineRegressionTest#testSolrASHKENAZI,1,1,0,0,0,2,1
00283,PhoneticEngineRegressionTest#testCompatibilityWithOriginalVersion,1,1,0,0,0,2,1
00283,BeiderMorseEncoderTest#testLongestEnglishSurname,1,1,0,0,0,2,1
00283,BeiderMorseEncoderTest#testOOM,1,1,0,0,0,2,1
00283,BeiderMorseEncoderTest#testAsciiEncodeNotEmpty1Letter,1,1,0,0,0,2,1
00283,BeiderMorseEncoderTest#testEncodeAtzNotEmpty,1,1,0,0,0,2,1
00283,BeiderMorseEncoderTest#testEncodeGna,1,1,0,0,0,2,1
