method-a,method-b,verdict
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.RenameHandler.loadFromClasspath()V,org.joda.convert.RenameHandler.lookupType(Ljava/lang/String;)Ljava/lang/Class;,sometimes-true-spec
org.joda.convert.RenameHandler.loadRenameFile(Ljava/net/URL;)Ljava/util/List;,org.joda.convert.RenameHandler.lookupType(Ljava/lang/String;)Ljava/lang/Class;,sometimes-true-spec
org.joda.convert.RenameHandler.loadRenameFile(Ljava/net/URL;)Ljava/util/List;,org.joda.convert.RenameHandler.parseRenameFile(Ljava/util/List;Ljava/net/URL;)V,spurious-spec
org.joda.convert.RenameHandler.parseRenameFile(Ljava/util/List;Ljava/net/URL;)V,org.joda.convert.RenameHandler.lookupType(Ljava/lang/String;)Ljava/lang/Class;,sometimes-true-spec
org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.registerFactory(Lorg/joda/convert/StringConverterFactory;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.registerFactory(Lorg/joda/convert/StringConverterFactory;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.registerFactory(Lorg/joda/convert/StringConverterFactory;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.registerFactory(Lorg/joda/convert/StringConverterFactory;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.registerFactory(Lorg/joda/convert/StringConverterFactory;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.registerFactory(Lorg/joda/convert/StringConverterFactory;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/StringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.register(Ljava/lang/Class;Lorg/joda/convert/ToStringConverter;Lorg/joda/convert/FromStringConverter;)V,spurious-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.registerMethodConstructor(Ljava/lang/Class;Ljava/lang/String;)V,spurious-spec
org.joda.convert.JDKStringConverter.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.JDKStringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,spurious-spec
org.joda.convert.JDKStringConverter.getType()Ljava/lang/Class;,org.joda.convert.JDKStringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,spurious-spec
org.joda.convert.JDKStringConverter.getType()Ljava/lang/Class;,org.joda.convert.JDKStringConverter.convertToString(Ljava/lang/Object;)Ljava/lang/String;,spurious-spec
org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,spurious-spec
org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,spurious-spec
