method-a,method-b,verdict
org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,no-break-pass (indirect)
org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,no-break-pass (indirect)
org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,no-break-pass (indirect)
org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,no-break-pass (indirect)
org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,no-break-pass (direct)
org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,no-break-pass (indirect)
org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findTypedConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,no-break-pass (indirect)
org.joda.convert.StringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,org.joda.convert.EnumStringConverterFactory$EnumStringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum;,spurious-spec
org.joda.convert.StringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,org.joda.convert.StringConverter.convertToString(Ljava/lang/Object;)Ljava/lang/String;,spurious-spec
org.joda.convert.StringConverter.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.EnumStringConverterFactory$EnumStringConverter.convertToString(Ljava/lang/Enum;)Ljava/lang/String;,spurious-spec
org.joda.convert.StringConverter.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConverter.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,spurious-spec
org.joda.convert.StringConverterFactory.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.eliminateEnumSubclass(Ljava/lang/Class;)Ljava/lang/Class;,no-break-pass (indirect)
org.joda.convert.StringConverterFactory.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.findAnnotatedConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,no-break-pass (direct)
org.joda.convert.StringConverterFactory.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.findFromStringConstructor(Ljava/lang/Class;Ljava/lang/reflect/Method;)Lorg/joda/convert/MethodConstructorStringConverter;,no-break-pass (indirect)
org.joda.convert.StringConverterFactory.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.findFromString(Ljava/lang/Class;)Ljava/lang/reflect/Method;,no-break-pass (indirect)
org.joda.convert.StringConverterFactory.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.findFromStringMethod(Ljava/lang/Class;Ljava/lang/reflect/Method;Z)Lorg/joda/convert/MethodsStringConverter;,no-break-pass (indirect)
org.joda.convert.StringConverterFactory.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,org.joda.convert.AnnotationStringConverterFactory.findToStringMethod(Ljava/lang/Class;)Ljava/lang/reflect/Method;,no-break-pass (direct)
org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,spurious-spec
org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,spurious-spec
