id,share-state(tool),original-dsi,updated-dsi,verdict,manual-tags,a-set-b-set,a-set-b-get,a-get-b-set,a-get-b-get,used-jdk?
00107,no,ls,ls,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00108,no,ls,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION;UNRELATED_STATELESS_METHODS,0,0,0,0,no
00109,no,ls,ls,spurious-spec,REPLACE_RETURN_WITH_EXPECTED_OUTPUT;ONE_STATELESS_METHOD,0,0,0,0,no
00110,no,ls,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00111,no,ls,ls,spurious-spec,DEFAULT_VALUE_SAME_AS_RETURN;ONE_STATELESS_METHOD;WEAK_ORACLE;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION,0,0,0,0,no
00112,no,u,ls,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00113,no,u,ls,true-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION,0,0,0,0,no
00118,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION;STATE_RESTORED;WEAK_ORACLE,0,0,0,0,no
00119,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION;STATE_RESTORED;WEAK_ORACLE,0,0,0,0,no
00120,yes,ls,ls,true-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;WEAK_ORACLE;DYNAMIC_DISPATCH,0,1,0,0,no
00121,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION;STATE_RESTORED;WEAK_ORACLE,0,0,0,0,no
00122,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE;DYNAMIC_DISPATCH;MULTIPLE_PERTURBATIONS,0,0,0,0,no
00123,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;WEAK_ORACLE,0,0,0,0,no
00124,no,u,ls,spurious-spec,ASM_ERROR;UNRELATED_STATEFUL_METHODS,0,0,0,0,no
00126,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ASM_ERROR;EXPECTED_EXCEPTION;ONE_STATELESS_METHOD,0,0,0,0,no
00127,no,ls,ls,spurious-spec,METHOD_A_RETURNS_VOID;UNRELATED_PURE_SETTERS;STATE_RESTORED;WEAK_ORACLE,0,0,0,0,no
00128,no,u,ls,spurious-spec,ASM_ERROR;DYNAMIC_DISPATCH;METHOD_A_RETURNS_VOID;ONE_STATELESS_METHOD;EXPECTED_EXCEPTION,0,0,0,0,no
00129,no,u,ls,spurious-spec,METHOD_A_RETURNS_VOID;ASM_ERROR;EXPECTED_EXCEPTION;ONE_STATELESS_METHOD,0,0,0,0,no
