id,dsi-time
00001,48.906
00002,46.632
00003,43.567
00015,1207.956
00016,780.573
00017,1151.597
00018,37.185
00019,37.164
00056,76.923
00057,97.059
00058,87.565
00059,736.253
00066,1354.675
00067,818.178
00068,785.150
00069,782.575
00070,72.118
00074,67.332
00075,824.752
00080,82.654
00081,84.434
00082,87.217
00083,84.211
00086,69.289
00087,799.599
00094,43.374
00098,43.452
00103,89.447
00207,11.139
00208,4.344
00209,4.585
00210,4.341
00009,132.061
00023,160.313
00028,152.140
00033,145.131
00041,859.785
00043,847.123
00046,875.376
00049,859.949
00051,814.326
00054,820.142
00091,41.485
00092,41.983
00093,44.811
00110,178.038
00111,305.327
00117,151.291
00122,5133.958
00123,5048.055
00124,5071.123
00125,5011.977
00126,4933.661
00129,171.404
00130,243.642
00136,95.141
00141,4839.444
00142,4761.321
00143,4695.006
00144,4641.024
00147,161.657
00148,201.346
00154,54.625
00159,4528.467
00160,4429.606
00163,140.997
00164,157.329
00170,38.717
00175,4159.421
00178,116.854
00179,118.134
00185,36.225
00192,94.727
00193,109.545
00199,33.664
00204,3931.721
00205,3815.811
00206,3694.578
00010,801.741
00011,1126.696
00025,158.758
00029,143.964
00034,132.594
00108,312.976
00109,302.297
00112,404.788
00113,513.001
00114,1054.781
00115,389.369
00116,515.240
00127,276.463
00128,267.491
00131,351.159
00132,498.153
00133,970.648
00134,344.014
00135,493.938
00145,251.782
00146,279.249
00149,336.727
00150,461.450
00151,843.328
00152,318.100
00153,437.226
00161,228.046
00162,253.541
00165,286.117
00166,394.168
00167,730.336
00168,274.917
00169,370.759
00176,189.059
00177,207.317
00180,236.166
00181,306.629
00182,558.915
00183,207.776
00184,243.003
00190,148.792
00191,160.552
00194,200.948
00195,236.427
00196,489.466
00197,173.586
00198,202.699
00026,34.766
00030,30.796
00031,443.067
00035,26.856
00095,41.258
00096,45.725
00097,42.131
00099,44.603
00100,45.551
00101,39.749
00104,96.376
00105,85.209
00107,80.416
00118,43.158
00119,182.428
00120,41.534
00121,43.455
00137,41.692
00138,172.935
00139,43.210
00140,41.657
00155,40.407
00156,170.613
00157,45.489
00158,42.140
00171,37.670
00172,173.600
00173,39.530
00174,41.764
00186,35.691
00187,162.597
00188,43.732
00189,42.943
00200,31.368
00201,165.231
00202,43.355
00203,46.633
00020,889.835
00021,827.774
00022,820.260
00048,1693.759
00050,1440.365
