id,dsi-time
00002,36.613
00014,1791.645
00015,1811.590
00016,997.698
00017,1543.350
00018,1952.625
00019,869.489
00020,1805.326
00021,866.197
00026,115.554
00036,193.930
00037,185.556
00038,179.419
00039,554.139
00040,562.402
00041,189.501
00042,188.805
00043,183.726
00073,57.695
00074,57.839
00078,46.240
00081,49.287
00083,45.882
00084,46.507
00085,46.671
00086,47.060
00089,48.416
00091,50.230
00092,49.974
00097,64.028
00098,61.157
00106,66.774
00107,4324.451
00108,4313.391
00109,4301.216
00110,603.488
00124,50.823
00152,363.408
00194,69.586
00195,70.802
00196,73.043
00197,73.611
00198,69.300
00199,73.195
00200,75.470
00201,73.922
00202,68.790
00203,71.946
00231,644.112
00233,2644.450
00234,607.359
00235,6539.541
00236,616.667
00237,615.188
00238,507.973
00239,2615.313
00240,2655.803
00241,2618.548
00242,780.434
00243,7320.076
00244,3705.061
00245,3632.548
00246,3545.862
00251,3628.735
00252,3664.298
00253,3644.105
00254,3641.319
00255,3521.111
00256,3672.495
00257,3652.720
00258,3682.517
00259,1680.271
00260,610.784
00261,2298.243
00262,617.447
00263,618.901
00264,607.479
00265,488.006
00266,2323.225
00267,2328.343
00268,2335.771
00269,757.739
00271,3482.913
00272,1649.124
00291,1677.804
00321,3452.606
00322,3445.470
00323,3332.602
00325,2081.435
00326,3438.006
00327,3449.410
00328,3332.599
00334,3281.197
00353,33.570
00354,32.831
00356,28.349
00359,216.707
00361,230.933
00362,121.649
00372,22.446
00373,23.736
00375,22.467
00381,111.351
00390,22.873
00391,22.186
00393,20.210
00399,116.512
00401,19.278
00402,215.814
00404,221.074
00405,20.509
00406,206.248
00407,19.412
00408,17.371
00410,19.323
00413,217.953
00414,199.819
00415,212.687
00416,111.097
00417,221.500
00425,4627.819
00453,425.994
00454,416.930
00455,431.318
00456,316.859
00457,298.417
00458,420.324
00459,725.147
00460,723.500
00461,4772.227
00462,4743.651
00463,4509.029
00464,4862.759
00466,4887.118
00475,81.072
00476,257.190
00477,243.573
00478,244.295
00479,4891.150
00481,4827.678
00482,618.322
00483,4769.100
00484,4519.759
00485,4467.555
00486,4723.449
00488,346.802
00489,4188.956
00490,5350.072
00491,5345.167
00505,64.029
00506,3678.494
00507,3660.452
00509,201.565
00510,183.516
00512,208.905
00513,185.157
00514,31.342
00516,32.774
00517,29.007
00518,32.784
00519,35.656
00523,36.243
00524,34.107
00525,32.687
00539,179.582
00540,190.166
00541,196.637
00542,192.536
00543,186.814
00544,180.192
00547,190.987
00548,187.149
00549,186.136
