project,spec-id,states,transitions,letters,true-spec,spurious-spec,no-break-pass,no-mined-spec,total-edge-pairs
commons-validator,org.apache.commons.validator.routines.LongValidator,18,49,17,0,0,0,187,187
commons-codec,org.apache.commons.codec.binary.Base32InputStream,19,48,7,24,24,0,121,169
commons-validator,org.apache.commons.validator.routines.BigIntegerValidator,19,47,14,0,0,0,162,162
commons-validator,org.apache.commons.validator.routines.IntegerValidator,20,40,17,0,0,0,117,117
commons-validator,org.apache.commons.validator.routines.ISINValidator,21,22,2,0,0,0,29,29
commons-codec,org.apache.commons.codec.digest.PureJavaCrc32C,25,29,5,0,2,0,61,63
commons-exec,org.apache.commons.exec.ExecuteException,26,61,13,0,0,0,155,155
commons-validator,org.apache.commons.validator.routines.ShortValidator,28,49,17,0,0,0,99,99
commons-validator,org.apache.commons.validator.routines.FloatValidator,34,61,15,0,0,0,178,178
commons-fileupload,org.apache.commons.fileupload2.RequestContext,36,39,4,0,27,0,20,47
commons-codec,org.apache.commons.codec.net.RFC1522Codec,40,48,5,0,25,0,45,70
commons-codec,org.apache.commons.codec.net.QCodec,43,95,16,0,22,42,209,273
kamranzafar.jtar,org.kamranzafar.jtar.TarOutputStream,45,55,10,0,0,0,77,77
commons-codec,org.apache.commons.codec.BinaryDecoder,49,49,1,0,0,0,50,50
commons-codec,org.apache.commons.codec.BinaryEncoder,49,49,1,0,0,0,50,50
commons-codec,org.apache.commons.codec.Decoder,49,49,1,0,0,0,50,50
commons-codec,org.apache.commons.codec.net.BCodec,53,96,16,0,21,42,132,195
commons-validator,org.apache.commons.validator.routines.ISSNValidator,59,72,6,0,0,19,83,102
commons-codec,org.apache.commons.codec.net.URLCodec,71,153,12,32,69,63,401,565
commons-codec,org.apache.commons.codec.digest.HmacUtils,79,95,7,0,0,23,125,148
commons-exec,org.apache.commons.exec.launcher.CommandLauncher,81,82,2,0,30,0,61,91
commons-fileupload,org.apache.commons.fileupload2.FileUploadBase$FileSizeLimitExceededException,83,116,11,0,9,0,241,250
commons-codec,org.apache.commons.codec.Encoder,85,85,1,0,0,0,87,87
commons-exec,org.apache.commons.exec.ExecuteWatchdog,94,122,12,24,85,17,87,213
commons-validator,org.apache.commons.validator.routines.CalendarValidator,96,139,30,0,4,0,324,328
joda-convert,org.joda.convert.StringConverterFactory,98,98,1,0,0,0,100,100
commons-exec,org.apache.commons.exec.LogOutputStream,111,111,4,0,0,0,111,111
commons-codec,org.apache.commons.codec.net.QuotedPrintableCodec,118,140,11,27,10,55,101,193
commons-exec,org.apache.commons.exec.Executor,121,216,11,30,450,0,405,885
commons-validator,org.apache.commons.validator.ValueBean,135,136,2,0,0,0,145,145
commons-validator,org.apache.commons.validator.routines.DateValidator,140,186,23,0,0,0,356,356
commons-codec,org.apache.commons.codec.language.DaitchMokotoffSoundex,143,158,7,0,0,0,224,224
commons-exec,org.apache.commons.exec.InputStreamPumper,143,145,3,0,0,0,156,156
commons-validator,org.apache.commons.validator.routines.TimeValidator,155,206,22,0,4,15,306,325
commons-exec,org.apache.commons.exec.ExecuteStreamHandler,169,169,5,67,66,0,37,170
commons-codec,org.apache.commons.codec.language.bm.RuleType,179,179,1,0,0,0,181,181
commons-exec,org.apache.commons.exec.LogOutputStream$ByteArrayOutputStreamX,181,182,4,0,0,0,187,187
commons-validator,org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,187,189,2,0,0,0,193,193
joda-convert,org.joda.convert.AnnotationStringConverterFactory,187,198,6,24,30,92,81,227
commons-codec,org.apache.commons.codec.language.DaitchMokotoffSoundex$1,201,201,1,0,0,0,203,203
commons-codec,org.apache.commons.codec.digest.MurmurHash3$IncrementalHash32,224,228,4,0,0,0,262,262
commons-codec,org.apache.commons.codec.language.Nysiis,234,248,6,0,0,155,149,304
joda-convert,org.joda.convert.StringConverter,252,253,2,0,168,0,94,262
