spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00098,org.apache.commons.codec.binary.Base32InputStream.skip(J)J,org.apache.commons.codec.binary.Base32InputStream.read()I,org.apache.commons.codec.binary.Base32InputStreamTest#testSkipNone,u,spurious-spec,ASM_ERROR
00099,org.apache.commons.codec.binary.Base32InputStream.skip(J)J,org.apache.commons.codec.binary.Base32InputStream.read([BII)I,org.apache.commons.codec.binary.Base32InputStreamTest#testSkipNone,u,spurious-spec,ASM_ERROR
00104,org.apache.commons.codec.binary.Base32OutputStream.isStrictDecoding()Z,org.apache.commons.codec.binary.Base32OutputStream.write([B)V,org.apache.commons.codec.binary.Base32OutputStreamTest#testStrictDecoding,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT;MULTIPLE_PERTURBATIONS
00114,org.apache.commons.codec.binary.Base64.containsAlphabetOrPad([B)Z,org.apache.commons.codec.binary.Base64.getEncodedLength([B)J,org.apache.commons.codec.binary.Base64Codec13Test#testStaticEncode,u,spurious-spec,ASM_ERROR;UNRELATED_STATELESS_METHODS
00132,org.apache.commons.codec.binary.Base64.getEncodedLength([B)J,org.apache.commons.codec.binary.Base64.encode([B)[B,org.apache.commons.codec.binary.Base64Codec13Test#testStaticEncode,u,spurious-spec,ONE_STATELESS_METHOD;ASM_ERROR
00133,org.apache.commons.codec.binary.Base64.getEncodedLength([B)J,org.apache.commons.codec.binary.BaseNCodec.available(Lorg/apache/commons/codec/binary/BaseNCodec$Context;)I,org.apache.commons.codec.binary.Base64Codec13Test#testStaticEncode,u,spurious-spec,ASM_ERROR;UNRELATED_STATELESS_METHODS
00134,org.apache.commons.codec.binary.Base64.getEncodedLength([B)J,org.apache.commons.codec.binary.BaseNCodec.encode([BII)[B,org.apache.commons.codec.binary.Base64Codec13Test#testStaticEncode,u,spurious-spec,ONE_STATELESS_METHOD;ASM_ERROR
00135,org.apache.commons.codec.binary.Base64.getEncodedLength([B)J,org.apache.commons.codec.binary.BaseNCodec.getDefaultBufferSize()I,org.apache.commons.codec.binary.Base64Codec13Test#testStaticEncode,u,spurious-spec,ASM_ERROR;UNRELATED_STATELESS_METHODS
00136,org.apache.commons.codec.binary.Base64.getEncodedLength([B)J,org.apache.commons.codec.binary.BaseNCodec.readResults([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)I,org.apache.commons.codec.binary.Base64Codec13Test#testStaticEncode,u,spurious-spec,ONE_STATELESS_METHOD;ASM_ERROR
00147,org.apache.commons.codec.binary.BaseNCodec.encode([B)[B,org.apache.commons.codec.binary.Base32.getEncodedLength([B)J,org.apache.commons.codec.binary.Base32Test#testRandomBytesHex,u,spurious-spec,ONE_STATELESS_METHOD;ASM_ERROR
00181,org.apache.commons.codec.binary.Hex.encode([B)[B,org.apache.commons.codec.binary.Hex.decode([B)[B,org.apache.commons.codec.binary.HexTest#testRequiredCharset,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00183,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/File;)[B,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/InputStream;)[B,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00184,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/io/File;)[B,org.apache.commons.codec.digest.DigestUtils.digest(Ljava/nio/ByteBuffer;)[B,org.apache.commons.codec.digest.DigestUtilsTest#testSha224_FileAsHex,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
