spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00275,org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;)I,org.apache.commons.exec.Executor.isFailure(I)Z,org.apache.commons.exec.DefaultExecutorTest#testExecuteWithSingleEnvironmentVariable,u,spurious-spec,ORDER_OF_ASSERTIONS;CHECKS_MISDIRECTED_OUTPUT;CONNECTION_DOES_NOT_NECESSITATE_ORDERING;REPLACE_RETURN_WITH_CORRECT_VALUE_NONASSERTION
00322,org.apache.commons.exec.Executor.setStreamHandler(Lorg/apache/commons/exec/ExecuteStreamHandler;)V,org.apache.commons.exec.Executor.getWorkingDirectory()Ljava/io/File;,org.apache.commons.exec.DefaultExecutorTest#testExecute,u,spurious-spec,METHOD_A_RETURNS_VOID;ORDER_OF_ASSERTIONS;CHECKS_MISDIRECTED_OUTPUT;ONE_STATELESS_METHOD
00350,org.apache.commons.exec.launcher.CommandLauncher.exec(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;)Ljava/lang/Process;,org.apache.commons.exec.launcher.CommandLauncher.isFailure(I)Z,org.apache.commons.exec.DefaultExecutorTest#testAddEnvironmentVariables,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION;UNRELATED_STATELESS_METHODS
00353,org.apache.commons.exec.ProcessDestroyer.add(Ljava/lang/Process;)Z,org.apache.commons.exec.ShutdownHookProcessDestroyer.removeShutdownHook()V,org.apache.commons.exec.DefaultExecutorTest#testExecuteWithProcessDestroyer,u,true-spec,REPLACEMENT_TRIGGERS_CHECK_THAT_PREVENTS_B;RETURN_VALUE_DISCARDED
00055,org.apache.commons.exec.DefaultExecuteResultHandler.waitFor(J)V,org.apache.commons.exec.ExecuteResultHandler.onProcessComplete(I)V,org.apache.commons.exec.DefaultExecutorTest#testStdInHandling,u,spurious-spec,GOOD_EXAMPLE;METHOD_A_RETURNS_VOID;CONCURRENCY;DYNAMIC_DISPATCH
00056,org.apache.commons.exec.DefaultExecuteResultHandler.waitFor(J)V,org.apache.commons.exec.ExecuteResultHandler.onProcessFailed(Lorg/apache/commons/exec/ExecuteException;)V,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithError,u,spurious-spec,METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;DYNAMIC_DISPATCH;CONCURRENCY
00060,org.apache.commons.exec.DefaultExecuteResultHandler.waitFor()V,org.apache.commons.exec.ExecuteResultHandler.onProcessFailed(Lorg/apache/commons/exec/ExecuteException;)V,org.apache.commons.exec.issues.Exec34Test#testExec34_2,u,spurious-spec,METHOD_A_RETURNS_VOID;GOOD_EXAMPLE;CONCURRENCY
00166,org.apache.commons.exec.ExecuteResultHandler.onProcessComplete(I)V,org.apache.commons.exec.DefaultExecuteResultHandler.getException()Lorg/apache/commons/exec/ExecuteException;,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsync,u,sometimes-true-spec,SOMETIMES_TRUE_SPEC;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00167,org.apache.commons.exec.ExecuteResultHandler.onProcessComplete(I)V,org.apache.commons.exec.DefaultExecuteResultHandler.getExitValue()I,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsync,u,sometimes-true-spec,SOMETIMES_TRUE_SPEC;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
00168,org.apache.commons.exec.ExecuteResultHandler.onProcessFailed(Lorg/apache/commons/exec/ExecuteException;)V,org.apache.commons.exec.DefaultExecuteResultHandler.getException()Lorg/apache/commons/exec/ExecuteException;,org.apache.commons.exec.DefaultExecutorTest#testExecuteAsyncWithProcessDestroyer,u,sometimes-true-spec,SOMETIMES_TRUE_SPEC;INSPECTION_TODO;METHOD_A_RETURNS_VOID;CONCURRENCY;GOOD_EXAMPLE
